elec gen by gen tech
scenario,region,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Western,hydro,electricity,hydro,0.0804331,0.108752,0.114311,0.11812,0.160889,0.203657,0.246425,0.289193,0.331962,0.37473,0.417498,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Western,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,1.05324E-4,0.00118621,0.00810301,0.0231534,0.0496951,0.0927781,0.158739,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Western,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.00237879,0.00605475,0.0298109,0.0654587,0.123299,0.196597,0.297212,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Western,refined liquids,electricity,refined liquids (steam/CT),0.0167247,0.0221465,0.0330205,0.040079,0.0266555,0.024892,0.0312944,0.0366016,0.0416315,0.0436463,0.0475592,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Western,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0118935,0.0458549,0.0895759,0.155703,0.260913,0.419223,0.645593,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Western,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,6.77007E-7,5.24543E-6,6.38264E-5,3.25165E-4,0.00127853,0.00396195,0.0101291,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Western,solar,electricity,PV,0.0,1.95E-5,1.51801E-4,0.00239014,0.00450822,0.011607800000000001,0.0478711,0.1126393,0.21919129999999998,0.37585515999999997,0.59781708,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Western,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,1.43233E-6,7.004720000000001E-6,6.396442E-5,2.9676842E-4,0.00112764842,0.0035019384199999996,0.00908735609,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Western,wind,electricity,wind,0.0,9.0E-6,2.87002E-5,2.84685E-4,0.0026332050000000004,0.009748315,0.045574415,0.11125391500000001,0.220978915,0.38675722999999995,0.62350471,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Western,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,1.39718E-5,1.7140179999999998E-4,0.0024248118,0.0116826618,0.0398535618,0.10019188999999999,0.19860825999999998,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Western,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,4.6847E-6,2.71951E-5,2.095851E-4,7.237321E-4,0.0020032421,0.0047655021,0.0101856074,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,5.65356E-4,0.00128305,0.00207652,0.00286649,0.00354478,0.00418479,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,biomass,electricity,biomass (conv),3.852E-4,0.0046332,0.00790199,0.00769598,0.00763521,0.00981153,0.0114125,0.0127281,0.0130298,0.0126345,0.0125633,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,9.26064E-4,0.00198657,0.00307163,0.00414579,0.00513007,0.00603395,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,coal,electricity,coal (conv pul),0.002376,0.007848,0.0108468,0.0118895,0.0139129,0.0162982,0.0185151,0.0202756,0.0215717,0.0223527,0.0228654,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,gas,electricity,gas (CC),0.0177333,0.154733,0.0793614,0.0813385,0.098316,0.146072,0.216676,0.304477,0.403608,0.502042,0.590973,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,gas,electricity,gas (steam/CT),0.0538059,0.0444407,0.146031,0.175555,0.176541,0.200408,0.217436,0.222099,0.216675,0.206337,0.193679,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,geothermal,electricity,geothermal,0.0,0.0,0.0,0.0,0.00191468,0.00737486,0.0155182,0.0248208,0.0343839,0.0431643,0.0493804,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,hydro,electricity,hydro,0.0643536,0.122414,0.120913,0.13694,0.141161,0.145383,0.149604,0.153825,0.158046,0.162267,0.166488,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,0.00220027,0.0059513,0.0105398,0.0154331,0.0206155,0.0256019,0.0303587,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,nuclear,electricity,Gen_II_LWR,0.0262116,0.0247428,0.0258156,0.0256977,0.0237483,0.0226344,0.0210097,0.0187863,0.0159952,0.0128479,0.00970064,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.00784247,0.0195787,0.0311393,0.0416796,0.0472638,0.0440912,0.0428722,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,refined liquids,electricity,refined liquids (steam/CT),0.0177984,0.0206856,0.0599868,0.0804766,0.0527911,0.0501165,0.0410133,0.0340881,0.0269055,0.0191786,0.0164907,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0034206,0.0182657,0.0391511,0.0562526,0.0670749,0.074011,0.0817056,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,9.20393E-7,7.51178E-6,2.90914E-5,8.30643E-5,1.94391E-4,3.7809E-4,6.49906E-4,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,solar,electricity,PV,0.0,0.0,0.0,5.39942E-5,0.0012942042,0.0082082342,0.0244317342,0.0478711342,0.0753985342,0.10262313999999999,0.12669163,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,8.01463E-7,4.1143030000000004E-6,1.2772593000000001E-5,3.2641393E-5,7.2788193E-5,1.40124393E-4,2.4176693E-4,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,wind,electricity,wind,0.0,2.7E-4,8.99999E-5,0.00215617,0.008346079999999999,0.027961879999999998,0.06075888,0.10207718,0.14733638,0.18840231000000002,0.2217658,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,1.64899E-5,1.923479E-4,9.156549E-4,0.0027840849,0.0065085648999999995,0.012255985,0.020032197,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Argentina,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,1.05135E-5,6.12016E-5,1.911546E-4,4.3457260000000003E-4,8.192096E-4,0.0013220686,0.0019127691,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Australia_NZ,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,3.14289E-4,8.75613E-4,0.00171436,0.00284727,0.00448932,0.005937,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Australia_NZ,biomass,electricity,biomass (conv),0.0,0.00187915,6.55171E-4,0.00135944,0.00205526,0.00315737,0.00508175,0.00769213,0.0106216,0.0142885,0.0167386,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Australia_NZ,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.020352,0.0449704,0.0717143,0.100121,0.13403,0.160307,0.0,0.0,0.0,EJ,
